rank,Unnamed: 0,restaurant,Price,Rating,Dishes,review-1,review-1.1,review-2,review-2.1,review-3,review-3.1,review-4,review-4.1,review-5,reviews-5,review_count,review-1_sentiment,review-2_sentiment,review-3_sentiment,review-4_sentiment,review-5_sentiment,overall_sentiment,rating_norm,sent_norm,volume_boost,rec_score
26,58,Cafe Blu by Radisson Blu Hinjewadi,2900,4.2,"North Indian, South Indian, Biryani, Goan, Maharashtrian, Pizza, Desserts

₹2,900 for two","Had an amazing seafood buffet at Cafe Blu! The spread was super fresh and flavorful. Absolutely loved the Kerala-style prawns, rich and spicy just the way I like it. The Konkani dishes were a treat, and the desserts were the perfect sweet ending. Totally worth it for seafood lovers!",5,Food was good. Thank you Abhijeet and team for the humble service!,4,Abhijit’s service is very good. Highly professional and polite.,2,,,,,3,0.999879837,0.999864936,0.999859691,,,0.999868155,0.84,0.999934077,0.6,0.835976927
27,57,Ice N Fire Sky Lounge,1800,4.2,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts

₹1,800 for two",Abhishek provided a good service,5,food is really good,3,Good service by Abhishek,2,,,,,3,0.99980396,0.999866128,0.99979192,,,0.999820669,0.84,0.999910335,0.6,0.835968617
28,5,The Ruby Hilltop - Sunny's World,1600,4.4,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts

₹1,600 for two","This was my 4th Visit, but the quality of food has gone down. Hope this would be my last visit",1,yasim and suraj : thanks for wonderful service,5,Good quality of food. We tried BBQ Chicken Tikka & Fried chicken garlic rice. It was awesome. Good service by Yaseen.,4,"Great food, great ambience, very nice service. Great hospitality staff particularly Yaseen provided great n prompt service n nice suggestions",3,Excellent service by Yaseen. Food is very good.,2,4,-0.997368574,0.99985981,0.999795735,0.999852896,0.999847531,0.60039748,0.88,0.80019874,0.8,0.832069559
29,21,Filament Bar,1800,4.5,"Turkish, Middle Eastern, North Indian, Continental, Asian

₹1,800 for two",food and ambience is awesome....Aktav served and suggested good choices of food to us...his service was very prompt and good.,1,"service can be improved, chicken is excellent but marination was salty",5,It was a wonderful night with friend . Food was amazing specially the mini kulcha boti taco and and chicken wings. The staff was so attentive and polite,4,"Hello,

ambience and food quality is superb. really loved it. we went here with a group of 17 people and enjoyed a lot
serving style and presentation is very attractive
I am rating 3/5 just because of quantity as compared to price.
all items are overpriced and quantity is very poor as compared to it",2,,,4,0.999858856,-0.769038558,0.999810159,0.952838778,,0.545867309,0.9,0.772933654,0.8,0.830526779
30,59,Hotel Shivprasad Veg - Nonveg,350,4.1,"North Indian, Chinese

₹350 for two",Good food amazing service,2,Good food and ambience,1,Good staff,4,,,,,3,0.999875784,0.999875546,0.99984479,,,0.999865373,0.82,0.999932686,0.6,0.82797644
31,6,Mood Drums Kitchen & Bar,1000,4.3,"North Indian, Italian, Alcoholic Beverages, Bar Food, Chinese, Fast Food, Salad

₹1,000 for two",Great service. Shubham server was very hospitable,1,Very quick service and yummy food,5,The music was too loud and the food doesn’t taste good at all.,4,Good food good music,3,"Such a lovely spot right opposite the IT Park! Perfect place to unwind with family — the live music added a soulful vibe 🎶. The food was absolutely delicious, and the ambience was warm, welcoming, and beautifully done. Great service too! Highly recommend if you're looking for a cozy evening with good food and good vibes.",2,4,0.996340394,0.99857688,-0.999806583,0.999863863,0.99988246,0.598971403,0.86,0.799485701,0.8,0.823819995
32,19,Torre - Gourmet Dining & Bar,1200,4.5,"Fast Food, Bar Food, Finger Food

₹1,200 for two","Torre had been on my list for a few months for now after it was highly recommended to me by a friend. I finally had a chance to visit this place on a weekday, monday with a friend. Torre is located on Balewadi High Street. Two wheeler and Four wheeler parking available. To my great surprise, this restaurant is located in an under construction building. It is a medium sized outlet with majorly indoor seating. The indoor ambience is good with bright vibrant lights. The place was completely empty and we were their only customers throughout the night. Torre specializes in serving Mexican food. We ordered their Empanadas Del Sol and Vegetable Fajitas. The Empanads were really great. Fried to...read more",1,great food and very good service,4,amazing service with great taste,3,Late services,2,,,4,0.999195993,0.99988091,0.999880433,-0.991976678,,0.501745164,0.9,0.750872582,0.8,0.822805404
33,20,Ava Artisan Kitchen & Bar,1200,4.5,"North Indian, Chinese, Continental, Sushi, Asian, Italian

₹1,200 for two",food was very good taste was excellent and service was also nice pranati was superb,1,Amazing food and excellent service,5,"Worst place to go with family. Rude staff, very unprofessional. Do not know the manners of attaining customers. I would recommend not to go here.",4,Great food! Best service we have experienced in a while. The staff was so keen and observant to our needs. Coriander chilli garlic prawns are a must try.,2,,,4,0.999843597,0.999882817,-0.999778807,0.99966836,,0.499903992,0.9,0.749951996,0.8,0.822483199
34,9,Thikana,1800,4.2,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages

₹1,800 for two",Kamal was good at service,1,Good service by vishal,5,Kamal was great at service,4,"Worst services like slow delivery times, inattentive staff and also lack of professionalism",3,"Good Food , Very Nice service by Kamal",2,4,0.999786556,0.999823272,0.999822438,-0.999818742,0.999867082,0.599896121,0.84,0.799948061,0.8,0.815981821
35,23,Circuit House,2000,4.4,"North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages

₹2,000 for two","Nice ambience and service was also good by Narayan.
Overall a good experience",1,"Had mutton ghee roast and butter chicken, very good food. very good service by Narayan..staff very helpful and polite.",4,"Valet was very rude. He denied to take car even though there were 3 people present. They had no idea how to talk to guests.. ready to fight
Food was fine but the overall experience was pathetic because of this incident. No one really cared to even be bothered about it",3,"Narayan and the staff has great service, food’s great and overall a good ambiance",2,,,4,0.999859214,0.999732196,-0.999582946,0.999879122,,0.499971896,0.88,0.749985948,0.8,0.814495082
36,25,Portico - Sayaji Hotel,1600,4.4,"North Indian, Asian, Fast Food, Salad, South Indian, Bar Food, Beverages

₹1,600 for two","I prefer going to Portico because the food has been great in the past. but lately, the service has been downgraded. the plates are not stocked on time. the chef and waiter are seen arguing while the customers are on the counters. if you ask for glass or bowl while at the counter, they hardly acknowledge and then make you wait while they are busy with something else. the quality of food was not upto the mark. the veg and non veg buffet costs the same which seems too much for the vegetarian to be paying for. at the entrance lobby, they have a sign that says no tipping with the note that you don't tip your close ones.. and the irony is that they add service charge to the bill. Isn't that the...read more",1,"Recommended, food is delicious and staff humble on service.",5,Good service by Harshal and Rohan,4,Food packaging,3,,,4,-0.999292493,0.999858618,0.999611795,0.992438614,,0.498154134,0.88,0.749077067,0.8,0.814176973
37,61,Daily Dosa,250,3.9,"South Indian, Fast Food

₹250 for two","Great taste

-Shiva",1,The taste here is good. Even the quality of the food is great.,5,Dosa is crunchy & sambar is spicy like us taste is maitain as per our requirement most recommended Thank you Daily Dosa😋,3,,,,,3,0.999774992,0.999873042,0.99745816,,,0.999035398,0.78,0.999517699,0.6,0.811831195
38,13,Rio Kitchen & Bar,1400,4.1,"Chinese, Continental, Pasta, North Indian, Salad, BBQ, Fast Food, Beverages

₹1,400 for two",Excellent service by Tularam,1,Tularam provided service excellence and was happy for it,5,Tularam superb service!!,4,Tularam was great with the service,3,"We visited Rio Hinjewadi on a Saturday night with a group of 11 people, expecting a fun night out. Despite the place being almost empty, the staff refused to accommodate us on any of the available larger tables near the dance floor. Saying they don’t allow joining tables near dance floor. Instead, initially they gave us a table meant for 6, with one small table forcefully attached — definitely not enough for 11 people to sit comfortably. Later on somehow we asked them to give us one larger table in front of their dance floor.

Still, we let that slide and went ahead to enjoy the evening. We ordered a lot — our bill crossed ₹20,000 — but the food was just average, nothing...read more",2,4,0.999776542,0.999868393,0.999817789,0.999785602,-0.993745685,0.601100528,0.82,0.800550264,0.8,0.808192592
39,15,Santorini by Hilton Garden Inn,3500,4.1,"Mediterranean, Continental, Salad, Pasta, Sandwich, Pizza, Desserts

₹3,500 for two","amazing service , rushikesh was really nice and polite .
would love to come here again and again",1,Abhay gave good service,5,"Food , Ambience, and Vibes are very good ..thanks abhay for good hospitality",4,Taste was not up to the mark and many Items are not available which we in the menu. Service delay.,3,Abhay was really polite while serving n the served the bestest best service,2,4,0.999839187,0.999815643,0.999876857,-0.99968493,0.99870193,0.599709737,0.82,0.799854869,0.8,0.807949204
40,68,Copper Chimney,1600,4.4,"North Indian, Kebab, Biryani, Mughlai, Desserts, Beverages

₹1,600 for two",Wonderful food. Great service.,3,Food and service is very good,2,,,,,,,2,0.999884844,0.999865532,,,,0.999875188,0.88,0.999937594,0.4,0.801978158
41,67,The 3 Musketeers Cafe & Bar,1200,4.4,"Continental, Chinese, North Indian, Mughlai, Biryani, Italian, Fast Food, Desserts

₹1,200 for two",Thanks for the amazing hospitality by Sonu. We really enjoyed a lot with live music and delicious food.,4,Food was good. Service by Sonu was great.,3,,,,,,,2,0.999884009,0.999858975,,,,0.999871492,0.88,0.999935746,0.4,0.801977511
42,35,Bombay Culture The Cafe,450,4.2,"Continental, Chinese, Burger, Pizza, Fast Food, Street Food, Beverages

₹450 for two","they have to improve alot.
food was ok.
they made it too spicy instead of giving prior instructions",1,"Ambiance can be improved, the price of food is quite high for the place",5,The food is amazing but the portion size and cost don't match,4,It is a good cafe. Love the food . Love the vibe here. I love their dumplings n mushrooms toasties.,3,,,4,0.937963307,0.998373151,-0.980422556,0.999876618,,0.48894763,0.84,0.744473815,0.8,0.796565835
43,77,Midori Coffee And Eatery,1000,4.1,"Cafe, Coffee

₹1,000 for two","Best place ever the food is amazing, everyone must try this.",5,"Had a lovely experience at Midori Café! The wood-fired pizza was perfectly crisp and flavorful, the garlic bread was fresh and buttery, and the jaggery latte was a unique and comforting drink. The café has a cozy vibe, and the staff was friendly and quick. A great spot to relax and enjoy good food — definitely coming back!",2,,,,,,,2,0.999495506,0.999865174,,,,0.99968034,0.82,0.99984017,0.4,0.77794406
44,16,Ajinkya Executive,850,3.7,"Chettinad, Biryani, Kebab, Chinese, Mangalorean, Mughlai, Seafood, Beverages

₹850 for two",fresh food,1,Low rate Drink and real Food,3,fresh food,2,customizable food,5,fresh food,3,4,0.999862909,-0.998187482,0.999862909,0.998068392,0.999862909,0.599893928,0.74,0.799946964,0.8,0.775981437
45,86,Pie and Pea Cafe & Bakery,900,3.9,"Cafe, Coffee, Bakery, Pizza, Sandwich, Fast Food, Biryani, Desserts

₹900 for two","i loved the food and packaging, quantity was also good and great taste! would recommend!",4,Food very good ; timely delivery : perfect food and taste,3,,,,,,,2,0.999876976,0.999878049,,,,0.999877512,0.78,0.999938756,0.4,0.761978565
46,84,De Lush Leaf,750,3.9,"Pizza, Panini, Salad, Healthy Food, Chinese, Wraps, Coffee, Beverages

₹750 for two","The food was delicious and it was worth the price. It's has a perfect blend for healthy food and munching snacks.
Sir Dnyanesh was extremely pleasing and gave the best recommendations to every choice.",5,"Loved the peaceful vibes at De Lush Leaf! The food is super fresh and flavorful — we tried their Green Goodness Pizza and Banana Dates Smoothie Bowl, both were amazing. Bonus: they’ve started canvas painting too, which made our visit extra fun and unique. Definitely a must-visit spot in Baner!",4,,,,,,,2,0.999874353,0.999836445,,,,0.999855399,0.78,0.9999277,0.4,0.761974695
47,88,Desi Eats,400,3.9,"North Indian, Street Food

₹400 for two","The food quality is consistently outstanding, exceeding my expectations every time and completely impressed with their professionalism.",5,Homestyle meal with great taste,4,,,,,,,2,0.999882102,0.999827087,,,,0.999854594,0.78,0.999927297,0.4,0.761974554
48,85,Poetry by Love and Cheesecake,1800,3.9,"Bakery, Desserts, Cafe, Continental, Sandwich, Beverages, Finger Food, Coffee

₹1,800 for two",Ahmad Razo good service,5,"experience was good
food 10/10
service 10/10
vibes 10/10
recommend specially cheese cake and omelets",4,,,,,,,2,0.993948698,0.999284565,,,,0.996616632,0.78,0.998308316,0.4,0.761407911
49,40,24/7 Gallery Café - Hyatt Place,2500,3.7,"Asian, Chinese, Italian, North Indian, Oriental, Healthy Food, Desserts, Beverages

₹2,500 for two","Food was Ok, we liked few and some were average. Service by Chumki and another member was excellent",1,Food is as good as always,4,Food was Ok. Service and ambience good,3,food was stale and lack taste,2,,,4,0.999656439,0.999871969,0.999854207,-0.999787509,,0.499898776,0.74,0.749949388,0.8,0.758482286
50,45,The Barkhana,2000,4.6,"Bar Food, Mughlai, Chinese, North Indian, Fast Food, Desserts, Beverages, Sichuan

₹2,000 for two",amazing taste I had jamacian chicken tikka,4,the noodles were bit smelly so not sure how fresh it was .. and zomato customer service is a joke ..,3,Good Food and ambience. but a unusual element in bill called STAFF CONTRIBUTION which is nearly 10%,2,,,,,3,0.992401361,-0.999248445,0.999444664,,,0.33086586,0.92,0.66543293,0.6,0.750901525
51,91,Saundarya Garden,1400,3.7,"Chinese, Rolls, Oriental, Seafood, North Indian, Mughlai, Desserts, Beverages

₹1,400 for two",good food,1,good taste,2,,,,,,,2,0.999862552,0.999845505,,,,0.999854028,0.74,0.999927014,0.4,0.745974455
52,108,Huber & Holly,800,4.3,"Desserts, Ice Cream, Shake, Coffee, Pasta, Sandwich, Pizza, Cake

₹800 for two",amazing taste.,5,,,,,,,,,1,0.999882698,,,,,0.999882698,0.86,0.999941349,0.2,0.743979472
53,107,Tales & Spirits - Hunters Bistro,1450,4.3,"Italian, Continental, North Indian, Biryani, Pizza, Fast Food, Desserts, Beverages

₹1,450 for two",Moodie Foodie,3,,,,,,,,,1,0.998630047,,,,,0.998630047,0.86,0.999315023,0.2,0.743760258
