rank,Unnamed: 0,restaurant,Price,Rating,Dishes,review-1,review-1.1,review-2,review-2.1,review-3,review-3.1,review-4,review-4.1,review-5,reviews-5,review_count,review-1_sentiment,review-2_sentiment,review-3_sentiment,review-4_sentiment,review-5_sentiment,overall_sentiment,rating_norm,sent_norm,volume_boost,rec_score,Dishes_tokens,Dishes_tokens_str,Cuisines_tokens,Dishes_specific_tokens,Cuisines_tokens_str,Dishes_specific_tokens_str
13,33,Opel Kitchen Bar,1800,4.2,"North Indian, Bar Food, Continental, Italian, Beverages

₹1,800 for two",Visited a restaurant where there was 0 complaint regarding food. absolutely delicious. very hospitable staff. service could be a bit fast thats all.,1.0,Really nice experience. If you are looking for something aesthetic you can visit Opel. The service is also really nice.,4.0,The food was good.. and the best part which I liked was their service they are very attentive,3.0,The restaurant is newly opened and the service is amazing. Good is delivious. Enjoyed the dining experience. Must visit.,2.0,,,4,0.999134004,0.999862552,0.999789059,0.999878645,,0.999666065,0.84,0.999833032,0.8,0.885941561,"['north indian', 'bar food', 'continental', 'italian']",north indian; bar food; continental; italian,"['north indian', 'bar food', 'continental', 'italian']",[],north indian; bar food; continental; italian,
14,11,Flo - The Brewing Club,3000,4.2,"Bar Food, Chinese, Pizza, Biryani

₹3,000 for two",food and vibe was good. Staff members were also helpful especially vijay and yogesh.I definitely want to visit again.,1.0,nice service promodh,5.0,"Where do I start, I would say the Ambience, sound and culture is 10/10!
and one of my favourite Concierge is Bijay Prasad what a chill guy for chill place!",4.0,"Sham and Vijay made our experience even better because of their good service.

food is top class, ambience is excellent and guava craft beer is the best I had so far.",3.0,we were highly impressed by service from Atharva :),2.0,4,0.999862552,0.99812144,0.990063012,0.999834895,0.999413133,0.997459006,0.84,0.998729503,0.8,0.885555326,"['bar food', 'chinese', 'pizza']",bar food; chinese; pizza,"['bar food', 'chinese', 'pizza']",[],bar food; chinese; pizza,
15,32,FML - Food Music Love,1900,4.2,"Chinese, Continental, North Indian, Oriental, Italian, Desserts

₹1,900 for two",Good service,1.0,Met satya in fml was serving a quality service,5.0,"the place was good and service also good , food avarage",4.0,very nice ambience and staf is very kind specially pradip,2.0,,,4,0.999849916,0.872273862,0.999582827,0.999294758,,0.967750341,0.84,0.98387517,0.8,0.88035631,"['chinese', 'continental', 'north indian', 'oriental', 'italian']",chinese; continental; north indian; oriental; italian,"['chinese', 'continental', 'north indian', 'oriental', 'italian']",[],chinese; continental; north indian; oriental; italian,
16,37,Teera,1800,4.1,"North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake

₹1,800 for two",nice ambience,1.0,Food is good service I also very good. sumit did a pretty good job at service..,5.0,The ambience is awesome and so is the service provided by Mr. Sumit.,4.0,sumit was great at his service,2.0,,,4,0.999845147,0.99986589,0.999872327,0.999842286,,0.999856412,0.82,0.999928206,0.8,0.877974872,"['north indian', 'continental', 'mughlai', 'chinese', 'fast food', 'desserts', 'beverages']",north indian; continental; mughlai; chinese; fast food; desserts; beverages,"['north indian', 'continental', 'mughlai', 'chinese', 'fast food', 'desserts', 'beverages']",[],north indian; continental; mughlai; chinese; fast food; desserts; beverages,
17,12,Akasa Poolbar & Kitchen,2000,4.1,"Continental, North Indian, Bar Food, Asian, Italian

₹2,000 for two",Bhuvan goswami was a good host n service partner,1.0,"The poolside seating is the highlight — whether you want to chill with friends or celebrate something special, it gives you a resort-like feel without leaving the city. Music was upbeat but not overpowering, and the staff was courteous and attentive.",5.0,"One of the best places in pune to experience a great poolside cool ambeince.
The food is good too,you can surely visit for a different experience!!",4.0,"Absolutely loved my experience at Akasa! The restaurant has a beautiful, serene vibe with stunning poolside seating and lush greenery all around. It’s the perfect blend of nature and luxury. The views are amazing — especially around sunset! 🌅

The food was delicious, beautifully presented, and full of flavor. Whether you're here for a romantic dinner or a peaceful brunch, Akasa is a must-visit. Great ambiance, great food, and a truly relaxing escape.",3.0,Very polite handling and fast service by Pushkar.,2.0,4,0.999567091,0.999624968,0.999850154,0.999886394,0.998783886,0.999542499,0.82,0.999771249,0.8,0.877919937,"['continental', 'north indian', 'bar food', 'asian']",continental; north indian; bar food; asian,"['continental', 'north indian', 'bar food', 'asian']",[],continental; north indian; bar food; asian,
18,44,Gong,2000,4.7,"Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages

₹2,000 for two",This is a must visit place for Pan Asian food lovers :),5.0,Awesome food and mind-blowing service professionals !! I highly recommend this place to go,4.0,Shiva was a great host. the food was amazing,2.0,,,,,3,0.999516249,0.999885917,0.999873638,,,0.999758601,0.94,0.999879301,0.6,0.875957755,"['chinese', 'sushi', 'asian', 'japanese', 'thai', 'salad', 'desserts']",chinese; sushi; asian; japanese; thai; salad; desserts,"['chinese', 'asian', 'desserts']","['sushi', 'japanese', 'thai', 'salad']",chinese; asian; desserts,sushi; japanese; thai; salad
19,46,Cherie,1900,4.6,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts

₹1,900 for two","Awesome food ,nice ambiance
Thanks you jayesh for ur service",1.0,"Service, food and ambience was very comfortable and soothing. Rakesh was very helpful.",4.0,"the food was good and the service was fast, Rakesh was good with suggestions over dishes and service. overall Very lovely place",3.0,,,,,3,0.999862909,0.999839902,0.999861479,,,0.999854763,0.92,0.999927382,0.6,0.867974584,"['asian', 'modern indian', 'chinese', 'italian', 'salad', 'continental']",asian; modern indian; chinese; italian; salad; continental,"['asian', 'chinese', 'italian', 'continental']","['modern indian', 'salad']",asian; chinese; italian; continental,modern indian; salad
20,49,Elephant & Co.,2000,4.5,"Continental, Salad, Asian, Italian, Desserts, Beverages

₹2,000 for two","It was a great experience, Tej our server was very attentive and the service was very quick. Great ambience for a date and a get together with friends ❤️",4.0,good service by rohit,3.0,Great service by rohit,2.0,,,,,3,0.999220848,0.999818265,0.999742568,,,0.999593894,0.9,0.999796947,0.6,0.859928931,"['continental', 'salad', 'asian', 'italian', 'desserts']",continental; salad; asian; italian; desserts,"['continental', 'asian', 'italian', 'desserts']",['salad'],continental; asian; italian; desserts,salad
21,0,Merchant & Me,2500,4.7,"North Indian, Alcoholic Beverages, Kebab, Pizza, Finger Food, Desserts, Beverages

₹2,500 for two","sanjit
thank you for your recommendation and service",1.0,Kundan was very helpful ans friendly. The service was good . they can increase the qty of br8yani though.,5.0,"Good place with nice ambiance. The service is bit slow but I think it’s due to food being prepared fresh .
Taste is very good .
Overall a good experience, my kid really enjoyed the food.",4.0,Food was not upto the mark.,3.0,Good food but limited menu,2.0,4,0.999763787,0.999587357,0.999854565,-0.999601781,0.991281211,0.598177028,0.94,0.799088514,0.8,0.85568098,"['north indian', 'alcoholic beverages', 'kebab', 'pizza', 'finger food', 'desserts']",north indian; alcoholic beverages; kebab; pizza; finger food; desserts,"['north indian', 'pizza', 'desserts']","['alcoholic beverages', 'kebab', 'finger food']",north indian; pizza; desserts,alcoholic beverages; kebab; finger food
22,39,The Kuti Project,1100,3.8,"Cafe, Coffee, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages

₹1,100 for two","Looking for a cafe that vibes just right? Kuti Project Cafe in Baner is your go-to spot! Whether you’re planning a chill hangout with friends or a cozy date, this spacious cafe with charming indoor and outdoor seating ticks all the boxes. The peaceful, cute ambience pairs perfectly with their diverse menu. Don’t miss must-try dishes like the Titae Olives Jalapeno Peppers Pizza, Lal Math Ravioli, Orange Tonic Espresso, and Emily Greens. Great for working, gaming, or just making memories!",5.0,"The Kuti Project offers a unique blend of modern Indian fusion with a creative menu and aesthetic plating. The Cannelloni Vangi and Aamras Cream were standout dishes. However, the service could be improved — we had to wait longer than expected. Worth a visit if you’re not in a rush!",4.0,nice ambience and good stuff,3.0,"Found this place randomly, Ample amount of car parking space, Vibe is great, Beautiful decor, Nice place to hangout or for date,
Little heavy to pocket, Food was Ok ok, Loved the Vietnams coffee",2.0,,,4,0.999731839,0.996068954,0.999876738,0.999750435,,0.998856992,0.76,0.999428496,0.8,0.853799974,"['cafe', 'coffee', 'pizza', 'sandwich', 'fast food', 'desserts', 'shake']",cafe; coffee; pizza; sandwich; fast food; desserts; shake,"['cafe', 'coffee', 'pizza', 'fast food', 'desserts']","['sandwich', 'shake']",cafe; coffee; pizza; fast food; desserts,sandwich; shake
23,53,1BHK Superbar,1800,4.4,"North Indian, Asian, Italian, European, Continental, Mediterranean, American, Seafood

₹1,800 for two","service was great, saul assisted really well.",4.0,Thank you Saul for the hospitality. Good food. Great vibe.,3.0,"Good place
Great food.",2.0,,,,,3,0.999841213,0.999873996,0.999878407,,,0.999864539,0.88,0.999932269,0.6,0.851976294,"['north indian', 'asian', 'italian', 'european', 'continental', 'mediterranean', 'american']",north indian; asian; italian; european; continental; mediterranean; american,"['north indian', 'asian', 'italian', 'continental']","['european', 'mediterranean', 'american']",north indian; asian; italian; continental,european; mediterranean; american
24,55,Nieesh,1400,4.3,"North Indian, Mexican, Italian, Oriental, Mughlai, Seafood, Chinese, Desserts

₹1,400 for two","Agro from out of Pune, enjoyed food very well with the ambience and the friendly Service, especially by Mr Joy",1.0,"Absolutely fantastic experience at Nieesh
The non-veg dishes were full of authentic Indian flavors-perfectly spiced,rich,and delicious the service was truly exceptional-staff were attentive,friendly,and made us feel welcome from the moment we arrived everything was served promptly and with care highly recommended for anyone looking to enjoy quality Indian cuisine with top-notch hospitality ⭐️⭐️⭐️⭐️⭐️",4.0,"The food and drinks were amazing! Our server- Joy, was very polite and helpful.
Great experience!",3.0,,,,,3,0.999871969,0.999878883,0.999874711,,,0.999875188,0.86,0.999937594,0.6,0.843978158,"['north indian', 'mexican', 'italian', 'oriental', 'mughlai', 'seafood', 'chinese']",north indian; mexican; italian; oriental; mughlai; seafood; chinese,"['north indian', 'italian', 'oriental', 'mughlai', 'seafood', 'chinese']",['mexican'],north indian; italian; oriental; mughlai; seafood; chinese,mexican
25,2,Masala Mehfil,1200,4.5,"Maharashtrian, North Indian, Seafood, Biryani, Beverages, Alcoholic Beverages

₹1,200 for two",The food is very tasty and as name says masala's are awesome. Quantity is very good and get good amount of chicken/mutton pieces in a dish,1.0,I ordered tomato soup and it was the worst soup I have ever tasted like too much salty I don't know feels like they've added ketchup or something. I couldn't drink more than 2 spoons,5.0,"Delicious Food & Great Vibes!

Masala Mehfil totally lived up to the hype! The food is packed with amazing regional flavors – you can really tell they put love into every dish. Everything we tried was super tasty!

The place has such a nice vibe too. It’s stylish but still feels really comfortable, perfect for a chill dinner with friends or family.

And shoutout to the staff – they were super friendly and helpful, made the whole experience even better.",4.0,"I am big fan of authentic food, i stay in balewadi baner side only it’s a perfect for me i was always looking for such vibe",3.0,"Last evening i visited masala mehfil was really good taste and variety on the menu was really nice. Must try Shahi Sabz Seekh Kebab and modak icecream.
Highly recommend it.",2.0,4,0.999823987,-0.999621034,0.999868751,0.999607503,0.999822199,0.599900281,0.9,0.799950141,0.8,0.839982549,"['maharashtrian', 'north indian', 'seafood', 'biryani', 'beverages']",maharashtrian; north indian; seafood; biryani; beverages,"['maharashtrian', 'north indian', 'seafood', 'biryani', 'beverages']",[],maharashtrian; north indian; seafood; biryani; beverages,
26,58,Cafe Blu by Radisson Blu Hinjewadi,2900,4.2,"North Indian, South Indian, Biryani, Goan, Maharashtrian, Pizza, Desserts

₹2,900 for two","Had an amazing seafood buffet at Cafe Blu! The spread was super fresh and flavorful. Absolutely loved the Kerala-style prawns, rich and spicy just the way I like it. The Konkani dishes were a treat, and the desserts were the perfect sweet ending. Totally worth it for seafood lovers!",5.0,Food was good. Thank you Abhijeet and team for the humble service!,4.0,Abhijit’s service is very good. Highly professional and polite.,2.0,,,,,3,0.999879837,0.999864936,0.999859691,,,0.999868155,0.84,0.999934077,0.6,0.835976927,"['north indian', 'south indian', 'biryani', 'goan', 'maharashtrian', 'pizza']",north indian; south indian; biryani; goan; maharashtrian; pizza,"['north indian', 'south indian', 'biryani', 'maharashtrian', 'pizza']",['goan'],north indian; south indian; biryani; maharashtrian; pizza,goan
27,57,Ice N Fire Sky Lounge,1800,4.2,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts

₹1,800 for two",Abhishek provided a good service,5.0,food is really good,3.0,Good service by Abhishek,2.0,,,,,3,0.99980396,0.999866128,0.99979192,,,0.999820669,0.84,0.999910335,0.6,0.835968617,"['bar food', 'continental', 'north indian', 'pizza', 'burger', 'pasta', 'chinese']",bar food; continental; north indian; pizza; burger; pasta; chinese,"['bar food', 'continental', 'north indian', 'pizza', 'burger', 'chinese']",['pasta'],bar food; continental; north indian; pizza; burger; chinese,pasta
28,5,The Ruby Hilltop - Sunny's World,1600,4.4,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts

₹1,600 for two","This was my 4th Visit, but the quality of food has gone down. Hope this would be my last visit",1.0,yasim and suraj : thanks for wonderful service,5.0,Good quality of food. We tried BBQ Chicken Tikka & Fried chicken garlic rice. It was awesome. Good service by Yaseen.,4.0,"Great food, great ambience, very nice service. Great hospitality staff particularly Yaseen provided great n prompt service n nice suggestions",3.0,Excellent service by Yaseen. Food is very good.,2.0,4,-0.997368574,0.99985981,0.999795735,0.999852896,0.999847531,0.60039748,0.88,0.80019874,0.8,0.832069559,"['bar food', 'chinese', 'north indian', 'asian', 'italian', 'mughlai', 'beverages']",bar food; chinese; north indian; asian; italian; mughlai; beverages,"['bar food', 'chinese', 'north indian', 'asian', 'italian', 'mughlai', 'beverages']",[],bar food; chinese; north indian; asian; italian; mughlai; beverages,
29,21,Filament Bar,1800,4.5,"Turkish, Middle Eastern, North Indian, Continental, Asian

₹1,800 for two",food and ambience is awesome....Aktav served and suggested good choices of food to us...his service was very prompt and good.,1.0,"service can be improved, chicken is excellent but marination was salty",5.0,It was a wonderful night with friend . Food was amazing specially the mini kulcha boti taco and and chicken wings. The staff was so attentive and polite,4.0,"Hello,

ambience and food quality is superb. really loved it. we went here with a group of 17 people and enjoyed a lot
serving style and presentation is very attractive
I am rating 3/5 just because of quantity as compared to price.
all items are overpriced and quantity is very poor as compared to it",2.0,,,4,0.999858856,-0.769038558,0.999810159,0.952838778,,0.545867309,0.9,0.772933654,0.8,0.830526779,"['turkish', 'middle eastern', 'north indian', 'continental']",turkish; middle eastern; north indian; continental,"['north indian', 'continental']","['turkish', 'middle eastern']",north indian; continental,turkish; middle eastern
30,59,Hotel Shivprasad Veg - Nonveg,350,4.1,"North Indian, Chinese

₹350 for two",Good food amazing service,2.0,Good food and ambience,1.0,Good staff,4.0,,,,,3,0.999875784,0.999875546,0.99984479,,,0.999865373,0.82,0.999932686,0.6,0.82797644,['north indian'],north indian,['north indian'],[],north indian,
31,6,Mood Drums Kitchen & Bar,1000,4.3,"North Indian, Italian, Alcoholic Beverages, Bar Food, Chinese, Fast Food, Salad

₹1,000 for two",Great service. Shubham server was very hospitable,1.0,Very quick service and yummy food,5.0,The music was too loud and the food doesn’t taste good at all.,4.0,Good food good music,3.0,"Such a lovely spot right opposite the IT Park! Perfect place to unwind with family — the live music added a soulful vibe 🎶. The food was absolutely delicious, and the ambience was warm, welcoming, and beautifully done. Great service too! Highly recommend if you're looking for a cozy evening with good food and good vibes.",2.0,4,0.996340394,0.99857688,-0.999806583,0.999863863,0.99988246,0.598971403,0.86,0.799485701,0.8,0.823819995,"['north indian', 'italian', 'alcoholic beverages', 'bar food', 'chinese', 'fast food']",north indian; italian; alcoholic beverages; bar food; chinese; fast food,"['north indian', 'italian', 'bar food', 'chinese', 'fast food']",['alcoholic beverages'],north indian; italian; bar food; chinese; fast food,alcoholic beverages
32,19,Torre - Gourmet Dining & Bar,1200,4.5,"Fast Food, Bar Food, Finger Food

₹1,200 for two","Torre had been on my list for a few months for now after it was highly recommended to me by a friend. I finally had a chance to visit this place on a weekday, monday with a friend. Torre is located on Balewadi High Street. Two wheeler and Four wheeler parking available. To my great surprise, this restaurant is located in an under construction building. It is a medium sized outlet with majorly indoor seating. The indoor ambience is good with bright vibrant lights. The place was completely empty and we were their only customers throughout the night. Torre specializes in serving Mexican food. We ordered their Empanadas Del Sol and Vegetable Fajitas. The Empanads were really great. Fried to...read more",1.0,great food and very good service,4.0,amazing service with great taste,3.0,Late services,2.0,,,4,0.999195993,0.99988091,0.999880433,-0.991976678,,0.501745164,0.9,0.750872582,0.8,0.822805404,"['fast food', 'bar food']",fast food; bar food,"['fast food', 'bar food']",[],fast food; bar food,
33,20,Ava Artisan Kitchen & Bar,1200,4.5,"North Indian, Chinese, Continental, Sushi, Asian, Italian

₹1,200 for two",food was very good taste was excellent and service was also nice pranati was superb,1.0,Amazing food and excellent service,5.0,"Worst place to go with family. Rude staff, very unprofessional. Do not know the manners of attaining customers. I would recommend not to go here.",4.0,Great food! Best service we have experienced in a while. The staff was so keen and observant to our needs. Coriander chilli garlic prawns are a must try.,2.0,,,4,0.999843597,0.999882817,-0.999778807,0.99966836,,0.499903992,0.9,0.749951996,0.8,0.822483199,"['north indian', 'chinese', 'continental', 'sushi', 'asian']",north indian; chinese; continental; sushi; asian,"['north indian', 'chinese', 'continental', 'asian']",['sushi'],north indian; chinese; continental; asian,sushi
34,9,Thikana,1800,4.2,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages

₹1,800 for two",Kamal was good at service,1.0,Good service by vishal,5.0,Kamal was great at service,4.0,"Worst services like slow delivery times, inattentive staff and also lack of professionalism",3.0,"Good Food , Very Nice service by Kamal",2.0,4,0.999786556,0.999823272,0.999822438,-0.999818742,0.999867082,0.599896121,0.84,0.799948061,0.8,0.815981821,"['north indian', 'italian', 'pasta', 'continental', 'pizza', 'biryani']",north indian; italian; pasta; continental; pizza; biryani,"['north indian', 'italian', 'continental', 'pizza', 'biryani']",['pasta'],north indian; italian; continental; pizza; biryani,pasta
